Year,North America,Europe & Central Asia,East Asia & Pacific,Latin America & Caribbean,Middle East & North Africa,South Asia,Sub-Saharan Africa
2026,0.040076688,0,0,0,0,0,0
2027,0.058200557,0,0,0,0,0,0
2028,0.081538714,0,0,0,0,0,0
2029,0.10545722,0,0,0,0,0,0
2030,0.12898527,0,0,0,0,0,0
2031,0.15213692,0.025517695,0,0,0,0,0
2032,0.17519087,0.050783344,0,0,0,0,0
2033,0.19823033,0.07627183,0.01,0.01,0,0,0
2034,0.22089073,0.10286051,0.03927599,0.014613412,0,0,0
2035,0.24309969,0.1315201,0.077983186,0.030621514,0,0,0
2036,0.26463148,0.16364083,0.11728202,0.04867406,0.01,0,0.01
2037,0.28552312,0.19972157,0.15849638,0.06989618,0.012716664,0,0.010167425
2038,0.30626154,0.23005667,0.20333804,0.096281566,0.025512826,0,0.020846592
2039,0.32703042,0.25701246,0.25429884,0.123780884,0.03878484,0.01,0.03217519
2040,0.34798497,0.28177375,0.30312544,0.15015458,0.053088024,0.050248556,0.044245116
2041,0.3687092,0.30497155,0.3427412,0.17553574,0.06848975,0.097770706,0.05721757
2042,0.3890244,0.32686156,0.3761657,0.19991735,0.085087545,0.14429171,0.071305476
2043,0.4091295,0.34772226,0.4048508,0.22337383,0.103352025,0.19192405,0.08673924
2044,0.42891428,0.3679177,0.4298452,0.2460622,0.1240488,0.24334766,0.10382073
2045,0.44824445,0.3876993,0.45184964,0.26807988,0.14817546,0.30130124,0.12290645
2046,0.4668894,0.40701532,0.47137806,0.28931734,0.17180842,0.36125883,0.14465265
2047,0.48483905,0.42579454,0.4888988,0.309701,0.19451769,0.40433192,0.16751713
2048,0.50253385,0.44409904,0.50482774,0.32922605,0.21693477,0.44098452,0.19045693
2049,0.52036947,0.46187684,0.5195744,0.34812257,0.2395762,0.47347197,0.21354257
2050,0.53876996,0.47904006,0.53391904,0.3668496,0.26278275,0.50284064,0.23682088
2051,0.55781657,0.4955746,0.5488771,0.38571516,0.28677312,0.52946854,0.2603016
2052,0.57718396,0.5115076,0.5647168,0.40474147,0.31115374,0.55396855,0.2839956
2053,0.59676385,0.527085,0.5811852,0.42407283,0.3352752,0.57672125,0.3078551
2054,0.616401,0.54273635,0.598,0.44399235,0.3587706,0.5975798,0.33179176
2055,0.63589215,0.5587209,0.61457855,0.46457675,0.38166165,0.6164717,0.35571006
2056,0.6549944,0.5750149,0.63048023,0.48567462,0.4040535,0.63326365,0.37956056
2057,0.6734916,0.5914598,0.6456512,0.50684965,0.42598793,0.64849067,0.40334558
2058,0.69139993,0.6079895,0.66010547,0.52761537,0.44771978,0.6628534,0.42703986
2059,0.7085011,0.6245052,0.6736946,0.5475064,0.4692352,0.676296,0.45065886
2060,0.7217035,0.640863,0.68617433,0.56644565,0.49030825,0.6884873,0.47419417
2061,0.7325466,0.656937,0.69717914,0.5847067,0.5108507,0.69957566,0.49760425
2062,0.741795,0.6726368,0.70630914,0.6024294,0.5309761,0.70938563,0.520889
2063,0.75,0.6878492,0.71370983,0.61984086,0.55091065,0.718055,0.5440082
2064,0.75,0.70251554,0.72028697,0.6369817,0.57079995,0.72540724,0.56693953
2065,0.75,0.7145626,0.7266187,0.6538218,0.59080845,0.7314448,0.5895722
2066,0.75,0.7242994,0.7325327,0.67038363,0.6109998,0.7363945,0.61181223
2067,0.75,0.7322343,0.73776567,0.68659097,0.63138103,0.7404008,0.6327609
2068,0.75,0.73890483,0.7418904,0.7022929,0.6512189,0.7436652,0.651082
2069,0.75,0.7447202,0.7447381,0.7164954,0.66840136,0.74619144,0.6673662
2070,0.75,0.75,0.746632,0.72751147,0.6835125,0.74799573,0.68207264
2071,0.75,0.75,0.74795055,0.7364274,0.69704485,0.7492073,0.69552183
2072,0.75,0.75,0.7490082,0.74369353,0.70930296,0.7498498,0.7079453
2073,0.75,0.75,0.75,0.75,0.72053605,0.75,0.71951294
2074,0.75,0.75,0.75,0.75,0.7309293,0.75,0.73035085
2075,0.75,0.75,0.75,0.75,0.74069923,0.75,0.7405176
2076,0.75,0.75,0.75,0.75,0.75,0.75,0.75
2077,0.75,0.75,0.75,0.75,0.75,0.75,0.75
2078,0.75,0.75,0.75,0.75,0.75,0.75,0.75
2079,0.75,0.75,0.75,0.75,0.75,0.75,0.75
2080,0.75,0.75,0.75,0.75,0.75,0.75,0.75
2081,0.75,0.75,0.75,0.75,0.75,0.75,0.75
2082,0.75,0.75,0.75,0.75,0.75,0.75,0.75
2083,0.75,0.75,0.75,0.75,0.75,0.75,0.75
2084,0.75,0.75,0.75,0.75,0.75,0.75,0.75
2085,0.75,0.75,0.75,0.75,0.75,0.75,0.75
2086,0.75,0.75,0.75,0.75,0.75,0.75,0.75
2087,0.75,0.75,0.75,0.75,0.75,0.75,0.75
2088,0.75,0.75,0.75,0.75,0.75,0.75,0.75
2089,0.75,0.75,0.75,0.75,0.75,0.75,0.75
2090,0.75,0.75,0.75,0.75,0.75,0.75,0.75
2091,0.75,0.75,0.75,0.75,0.75,0.75,0.75
2092,0.75,0.75,0.75,0.75,0.75,0.75,0.75
2093,0.75,0.75,0.75,0.75,0.75,0.75,0.75
2094,0.75,0.75,0.75,0.75,0.75,0.75,0.75
2095,0.75,0.75,0.75,0.75,0.75,0.75,0.75
2096,0.75,0.75,0.75,0.75,0.75,0.75,0.75
2097,0.75,0.75,0.75,0.75,0.75,0.75,0.75
2098,0.75,0.75,0.75,0.75,0.75,0.75,0.75
2099,0.75,0.75,0.75,0.75,0.75,0.75,0.75
2100,0.75,0.75,0.75,0.75,0.75,0.75,0.75
