Year,North America,Europe & Central Asia,East Asia & Pacific,Latin America & Caribbean,Middle East & North Africa,South Asia,Sub-Saharan Africa
2026,0.01,0,0,0,0,0,0
2027,0.01,0,0,0,0,0,0
2028,0.016662361,0,0,0,0,0,0
2029,0.026717791,0,0,0,0,0,0
2030,0.03880037,0,0,0,0,0,0
2031,0.054359145,0,0,0,0,0,0
2032,0.07030481,0,0,0,0,0,0
2033,0.085990176,0,0,0,0,0,0
2034,0.10142462,0.017011797,0,0,0,0,0
2035,0.116793916,0.03385556,0,0,0,0,0
2036,0.13215356,0.050847888,0.01,0.01,0,0,0
2037,0.14726049,0.068573676,0.026183993,0.01,0,0,0
2038,0.16206646,0.08768007,0.05198879,0.020414343,0,0,0
2039,0.17642099,0.10909388,0.07818801,0.032449372,0.01,0,0.01
2040,0.19034874,0.13314772,0.105664246,0.04659745,0.01,0,0.01
2041,0.20417437,0.15337111,0.1355587,0.06418771,0.01700855,0,0.013897728
2042,0.21802029,0.17134163,0.16953257,0.08252059,0.02585656,0.01,0.021450128
2043,0.23198998,0.18784916,0.20208363,0.10010305,0.035392016,0.033499036,0.029496744
2044,0.24580614,0.20331436,0.22849414,0.117023826,0.045659836,0.06518047,0.038145047
2045,0.2593496,0.21790771,0.25077713,0.13327824,0.05672503,0.096194476,0.047536984
2046,0.272753,0.23181485,0.26990053,0.14891589,0.06890135,0.12794937,0.05782616
2047,0.28594285,0.24527846,0.2865635,0.16404147,0.082699195,0.16223177,0.06921382
2048,0.29882962,0.2584662,0.30123308,0.17871992,0.09878364,0.2008675,0.081937626
2049,0.3112596,0.27134356,0.31425205,0.19287823,0.114538945,0.24083923,0.09643509
2050,0.32322603,0.28386304,0.32593253,0.20646733,0.12967846,0.26955462,0.11167808
2051,0.33502254,0.29606605,0.33655185,0.21948403,0.14462318,0.29398966,0.12697129
2052,0.34691298,0.3079179,0.34638295,0.23208171,0.15971747,0.315648,0.14236172
2053,0.35917997,0.31936002,0.355946,0.24456641,0.17518851,0.33522707,0.15788057
2054,0.37187773,0.33038306,0.3659181,0.25714344,0.19118208,0.352979,0.17353441
2055,0.38478932,0.34100506,0.37647787,0.26982763,0.20743583,0.36931238,0.1893304
2056,0.39784256,0.35139,0.3874568,0.28271523,0.2235168,0.38448086,0.20523673
2057,0.41093403,0.36182424,0.39866665,0.2959949,0.2391804,0.39838654,0.2211945
2058,0.42392808,0.3724806,0.40971905,0.30971783,0.2544411,0.41098115,0.23714004
2059,0.43666294,0.38334325,0.42032015,0.3237831,0.269369,0.42217577,0.25304037
2060,0.4489944,0.39430654,0.43043417,0.33789974,0.28399193,0.4323271,0.26889706
2061,0.4609333,0.40532634,0.44007033,0.35174358,0.29847986,0.44190228,0.28469324
2062,0.4723341,0.4163368,0.44912973,0.36500427,0.31282347,0.450864,0.30043924
2063,0.48113567,0.42724198,0.4574496,0.37763044,0.32687217,0.45899153,0.31612945
2064,0.4883644,0.437958,0.46478608,0.38980448,0.34056714,0.46638379,0.33173618
2065,0.49453002,0.44842452,0.47087276,0.40161958,0.3539841,0.47292376,0.3472593
2066,0.5,0.45856616,0.47580656,0.41322723,0.36727375,0.47870332,0.36267215
2067,0.5,0.4683437,0.4801913,0.42465448,0.3805333,0.48360482,0.3779597
2068,0.5,0.47637507,0.48441246,0.43588123,0.3938723,0.48762986,0.39304814
2069,0.5,0.48286623,0.48835513,0.44692242,0.40733323,0.4909297,0.40787482
2070,0.5,0.48815617,0.4918438,0.45772728,0.42092067,0.49360055,0.4218406
2071,0.5,0.4926032,0.4945936,0.46819526,0.43414593,0.4957768,0.43405464
2072,0.5,0.49648017,0.4964921,0.4776636,0.44560093,0.49746093,0.4449108
2073,0.5,0.5,0.49775466,0.48500764,0.455675,0.4986638,0.45471507
2074,0.5,0.5,0.4986337,0.49095163,0.46469656,0.49947152,0.46368122
2075,0.5,0.5,0.4993388,0.4957957,0.47286865,0.49989986,0.47196352
2076,0.5,0.5,0.5,0.5,0.48035738,0.5,0.4796753
2077,0.5,0.5,0.5,0.5,0.4872862,0.5,0.48690054
2078,0.5,0.5,0.5,0.5,0.4937995,0.5,0.49367842
2079,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2080,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2081,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2082,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2083,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2084,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2085,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2086,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2087,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2088,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2089,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2090,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2091,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2092,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2093,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2094,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2095,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2096,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2097,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2098,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2099,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2100,0.5,0.5,0.5,0.5,0.5,0.5,0.5
