Year,Region,Annual_CO2_Mean,Annual_CI_Lower,Annual_CI_Upper,Cumulative_CO2_Mean,Cumulative_CI_Lower,Cumulative_CI_Upper
2047,North America,0.03675108384537218,0.01927440559089091,0.054227762099853444,0.40934784969473104,0.35064166887880494,0.4680540305106572
2048,North America,0.038195776157480606,0.020217259345082884,0.05617429296987833,0.44754362585221164,0.3861462095159693,0.508941042188454
2049,North America,0.03968508491768922,0.02099744972189384,0.0583727201134846,0.4872287107699009,0.4230502841611329,0.5514071373786688
2050,North America,0.04108939720704979,0.02191224356992564,0.06026655084417394,0.5283181079769507,0.4613357695316644,0.5953004464222369
2051,North America,0.04240269064997828,0.02303070713744994,0.06177467416250662,0.5707207986269289,0.5009934194361939,0.6404481778176639
2052,North America,0.04373448769024841,0.024148754603366233,0.06332022077713058,0.6144552863171773,0.5420294045527201,0.6868811680816346
2053,North America,0.04499463703799182,0.025473783827531703,0.06451549024845193,0.659449923355169,0.5844394436911683,0.7344604030191698
2054,North America,0.046136645389899,0.027057098749242562,0.06521619203055544,0.7055865687450681,0.6281875948537015,0.7829855426364347
2055,North America,0.04725407946571295,0.028647768934439703,0.0658603899969862,0.752840648210781,0.673236653643783,0.8324446427777789
2056,North America,0.04988055596695422,0.029712873334699616,0.07004823859920882,0.8027212041777352,0.7206021967934642,0.8848402115620062
2057,North America,0.05069182461196804,0.031263494922390646,0.07012015430154545,0.8534130287897033,0.7690270621346671,0.9377989954447394
2058,North America,0.05148991219359315,0.032733864387769984,0.07024595999941631,0.9049029409832964,0.8184576941642884,0.9913481878023044
2059,North America,0.05226495282944645,0.03410455736766244,0.07042534829123046,0.9571678938127428,0.868835676242212,1.0455001113832736
2060,North America,0.052962277311216034,0.03535885224628073,0.07056570237615134,1.0101301711239588,0.920060968646395,1.1001993736015228
2061,North America,0.053606694304136115,0.03651517457771501,0.07069821403055722,1.063736865428095,0.972060361996174,1.155413368860016
2062,North America,0.05420455084442518,0.03756752837579655,0.07084157331305381,1.11794141627252,1.024767536895708,1.2111152956493318
2063,North America,0.05468297344769756,0.03834189564331036,0.07102405125208477,1.1726243897202178,1.0780283928602357,1.2672203865801996
2064,North America,0.054969178901061136,0.038962925709760385,0.07097543209236189,1.2275935686212787,1.1316529475936987,1.3235341896488588
2065,North America,0.05521329234072135,0.039472961742400316,0.0709536229390424,1.282806860962,1.185583608750905,1.3800301131730952
2066,North America,0.055429864422831335,0.03990950238443856,0.0709502264612241,1.3382367253848315,1.239782459817996,1.4366909909516667
2067,North America,0.055429864422831335,0.03990950238443856,0.0709502264612241,1.3936665898076628,1.293996513826415,1.4933366657889107
2068,North America,0.055429864422831335,0.03990950238443856,0.0709502264612241,1.449096454230494,1.3482252210472394,1.5499676874137487
2069,North America,0.055429864422831335,0.03990950238443856,0.0709502264612241,1.5045263186533253,1.4024680641037137,1.606584573202937
2070,North America,0.055429864422831335,0.03990950238443856,0.0709502264612241,1.5599561830761566,1.4567245553668344,1.6631878107854787
2071,North America,0.055429864422831335,0.03990950238443856,0.0709502264612241,1.6153860474989878,1.5109942346144571,1.7197778603835188
2072,North America,0.055429864422831335,0.03990950238443856,0.0709502264612241,1.670815911921819,1.5652766669220484,1.77635515692159
2073,North America,0.055429864422831335,0.03990950238443856,0.0709502264612241,1.7262457763446506,1.6195714407576667,1.8329201119316345
2074,North America,0.055429864422831335,0.03990950238443856,0.0709502264612241,1.7816756407674819,1.6738781662575135,1.88947311527745
2075,North America,0.055429864422831335,0.03990950238443856,0.0709502264612241,1.8371055051903131,1.728196473661564,1.946014536719062
2076,North America,0.055429864422831335,0.03990950238443856,0.0709502264612241,1.8925353696131444,1.7825260118914814,2.0025447273348074
2077,North America,0.055429864422831335,0.03990950238443856,0.0709502264612241,1.9479652340359757,1.8368664472553111,2.05906402081664
2078,North America,0.055429864422831335,0.03990950238443856,0.0709502264612241,2.003395098458807,1.891217462265409,2.115572734652205
2079,North America,0.055429864422831335,0.03990950238443856,0.0709502264612241,2.0588249628816384,1.945578754557734,2.1720711712055425
2080,North America,0.055429864422831335,0.03990950238443856,0.0709502264612241,2.1142548273044697,1.9999500359020794,2.2285596187068597
2081,North America,0.055429864422831335,0.03990950238443856,0.0709502264612241,2.169684691727301,2.0543310312940632,2.2850383521605386
2082,North America,0.055429864422831335,0.03990950238443856,0.0709502264612241,2.2251145561501326,2.108721478120769,2.3415076341794965
2083,North America,0.055429864422831335,0.03990950238443856,0.0709502264612241,2.2805444205729644,2.1631211253928666,2.3979677157530617
2084,North America,0.055429864422831335,0.03990950238443856,0.0709502264612241,2.3359742849957956,2.2175297330368515,2.45441883695474
2085,North America,0.055429864422831335,0.03990950238443856,0.0709502264612241,2.3914041494186273,2.2719470712417444,2.5108612275955102
2086,North America,0.055429864422831335,0.03990950238443856,0.0709502264612241,2.4468340138414586,2.326372919855223,2.5672951078276944
2087,North America,0.055429864422831335,0.03990950238443856,0.0709502264612241,2.5022638782642903,2.38080706782468,2.6237206887039006
2088,North America,0.055429864422831335,0.03990950238443856,0.0709502264612241,2.557693742687122,2.4352493126791943,2.6801381726950493
2089,North America,0.055429864422831335,0.03990950238443856,0.0709502264612241,2.6131236071099533,2.489699460048817,2.73654775417109
2090,North America,0.055429864422831335,0.03990950238443856,0.0709502264612241,2.668553471532785,2.544157323217928,2.7929496198476413
2091,North America,0.055429864422831335,0.03990950238443856,0.0709502264612241,2.7239833359556163,2.5986227227097705,2.849343949201462
2092,North America,0.055429864422831335,0.03990950238443856,0.0709502264612241,2.779413200378448,2.6530954858995304,2.9057309148573656
2093,North America,0.055429864422831335,0.03990950238443856,0.0709502264612241,2.8348430648012797,2.7075754466536135,2.9621106829489454
2094,North America,0.055429864422831335,0.03990950238443856,0.0709502264612241,2.890272929224111,2.762062444992973,3.0184834134552494
2095,North America,0.055429864422831335,0.03990950238443856,0.0709502264612241,2.9457027936469427,2.8165563267785623,3.074849260515323
2096,North America,0.055429864422831335,0.03990950238443856,0.0709502264612241,3.0011326580697744,2.87105694341716,3.131208372722389
2097,North America,0.055429864422831335,0.03990950238443856,0.0709502264612241,3.0565625224926056,2.9255641515859745,3.1875608933992368
2098,North America,0.055429864422831335,0.03990950238443856,0.0709502264612241,3.1119923869154373,2.9800778129745944,3.24390696085628
2099,North America,0.055429864422831335,0.03990950238443856,0.0709502264612241,3.1674222513382686,3.0345977940429467,3.3002467086335905
2100,North America,0.055429864422831335,0.03990950238443856,0.0709502264612241,3.2228521157611003,3.0891239657940885,3.356580265728112
2026,Europe & Central Asia,0.0,0.0,0.0,0.0,0.0,0.0
2027,Europe & Central Asia,0.0,0.0,0.0,0.0,0.0,0.0
